fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2026-05-21,8293X,XÀTIVA,VALENCIA,88,23.4,0.0,14.5,05:00:00,32.2,15:20:00,09,2.2,6.1,13:50,,1016.0,07:00:00,1012.0,17:00:00,44.0,94.0,,24.0,15:20:00
2026-05-21,2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN ",PALENCIA,985,19.7,0.0,12.5,05:00:00,26.9,15:59:00,29,3.3,9.7,14:00,,,,,,49.0,72.0,21:50:00,28.0,16:00:00
2026-05-21,8072Y,BARX,VALENCIA,340,21.2,0.0,12.9,06:13:00,29.4,12:58:00,12,2.2,9.2,16:40,,,,,,57.0,97.0,02:10:00,31.0,11:40:00
2026-05-21,9228T,RONCESVALLES/ORREAGA,NAVARRA,947,19.2,0.0,11.4,00:01:00,27.1,16:33:00,20,1.1,7.2,10:30,,,,,,59.0,100.0,,39.0,15:50:00
2026-05-21,9638D,COLL DE NARGÓ,LLEIDA,609,20.6,0.0,10.8,04:17:00,30.4,14:22:00,14,4.2,9.7,17:00,,,,,,48.0,100.0,,32.0,13:30:00
2026-05-21,9689X,TORRE DE CABDELLA ,LLEIDA,1273,16.6,0.0,9.1,03:10:00,24.2,15:28:00,,,,,,,,,,62.0,88.0,00:10:00,43.0,11:10:00
2026-05-21,7203A,"LORCA, ZARCILLA DE RAMOS",MURCIA,646,19.2,0.0,10.0,04:41:00,28.4,14:12:00,12,3.6,8.9,12:20,,,,,,36.0,74.0,04:50:00,22.0,
2026-05-21,9814X,TORLA - ORDESA,HUESCA,1076,,0.0,,,,,15,1.9,6.4,12:50,,,,,,,78.0,04:40:00,31.0,12:30:00
2026-05-21,3305Y,NAVAHERMOSA,TOLEDO,750,23.4,0.0,14.3,05:36:00,32.4,15:22:00,,,,,,,,,,36.0,67.0,05:50:00,26.0,17:00:00
2026-05-21,1302F,DEGAÑA,ASTURIAS,1310,18.2,0.0,10.0,02:47:00,26.4,13:08:00,01,1.9,8.1,09:00,,,,,,44.0,80.0,,29.0,15:10:00
2026-05-21,1738U,MUIÑOS,OURENSE,730,19.3,0.0,11.6,01:29:00,27.0,10:18:00,,,,,,,,,,45.0,80.0,01:30:00,32.0,15:40:00
2026-05-21,0092X,BERGA,BARCELONA,682,21.3,0.0,14.6,00:01:00,28.0,14:11:00,24,2.8,7.8,14:20,,,,,,54.0,88.0,00:00:00,41.0,17:10:00
2026-05-21,9843A,SEIRA,HUESCA,825,19.2,0.0,9.4,05:01:00,29.1,15:13:00,23,1.1,6.9,12:30,,,,,,57.0,94.0,05:10:00,39.0,11:40:00
2026-05-21,6258X,LANJARÓN,GRANADA,708,18.4,0.0,10.6,05:36:00,26.2,12:53:00,,,,,,,,,,45.0,77.0,06:20:00,24.0,12:00:00
2026-05-21,1037X,LEGAZPI,GIPUZKOA,460,21.2,0.0,11.9,04:23:00,30.5,14:06:00,,,,,,,,,,57.0,100.0,,28.0,13:00:00
