fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-11-01,B228,"PALMA, PUERTO",BALEARES,3,20.6,49.5,16.9,21:20:00,24.4,09:40:00,22,1.4,7.8,13:50,2.3,1019.9,09:00:00,1016.8,,84.0,94.0,15:10:00,69.0,13:10:00
2024-11-02,B228,"PALMA, PUERTO",BALEARES,3,20.0,0.0,15.9,06:40:00,24.1,12:40:00,17,0.6,3.6,12:10,7.0,1021.6,23:00:00,1016.9,05:00:00,74.0,90.0,00:50:00,59.0,14:20:00
2024-11-03,B228,"PALMA, PUERTO",BALEARES,3,22.0,2.1,18.2,03:20:00,25.9,12:20:00,06,1.7,6.4,16:50,5.6,1022.4,10:00:00,1020.2,,81.0,88.0,22:40:00,65.0,12:20:00
2024-11-04,B228,"PALMA, PUERTO",BALEARES,3,23.2,0.0,20.1,23:10:00,26.4,13:00:00,31,1.4,5.8,05:10,5.9,1022.1,00:00:00,1020.0,14:00:00,79.0,92.0,05:50:00,62.0,13:10:00
2024-11-05,B228,"PALMA, PUERTO",BALEARES,3,21.6,0.0,18.3,06:20:00,25.0,11:20:00,23,0.8,5.0,12:40,7.4,1022.6,23:00:00,1020.6,14:00:00,81.0,90.0,05:00:00,65.0,11:30:00
2024-11-06,B228,"PALMA, PUERTO",BALEARES,3,22.0,0.0,18.1,04:00:00,25.8,11:50:00,05,0.8,7.5,15:50,4.5,1024.2,10:00:00,1021.9,03:00:00,80.0,92.0,02:40:00,60.0,11:50:00
2024-11-07,B228,"PALMA, PUERTO",BALEARES,3,21.2,0.2,17.1,22:30:00,25.4,12:40:00,35,0.3,5.8,14:10,5.7,1023.4,00:00:00,1020.6,16:00:00,72.0,89.0,22:20:00,53.0,13:10:00
2024-11-08,B228,"PALMA, PUERTO",BALEARES,3,19.6,0.1,16.2,05:50:00,23.1,11:50:00,35,1.1,4.2,18:50,6.0,1021.9,22:00:00,1019.5,14:00:00,76.0,90.0,03:50:00,60.0,14:00:00
2024-11-09,B228,"PALMA, PUERTO",BALEARES,3,19.2,4.3,15.5,,22.9,11:30:00,06,1.4,6.7,23:10,4.7,1022.2,22:00:00,1020.1,,77.0,92.0,22:30:00,60.0,11:30:00
2024-11-10,B228,"PALMA, PUERTO",BALEARES,3,18.6,22.3,16.4,04:40:00,20.7,13:10:00,34,0.8,6.4,07:50,2.4,1022.1,10:00:00,1020.2,07:00:00,77.0,91.0,00:30:00,69.0,11:20:00
