fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2017-01-01,B228,"PALMA, PUERTO",BALEARES,3,"11,4","0,0","6,1",Varias,"16,7",12:30,18,"1,1","8,6",23:50,"8,1","1028,6",00,"1021,9",24,78,92,06:30,58,14:40
2017-01-02,B228,"PALMA, PUERTO",BALEARES,3,"14,3","0,0","10,9",23:50,"17,7",12:20,19,,"7,8",00:00,"3,7","1021,9",00,"1020,3",17,60,90,23:40,49,08:10
2017-01-03,B228,"PALMA, PUERTO",BALEARES,3,"14,0","0,0","9,6",07:10,"18,3",13:00,34,"0,8","6,1",15:10,"7,6","1023,0",24,"1020,0",05,70,91,07:30,54,17:10
2017-01-04,B228,"PALMA, PUERTO",BALEARES,3,"12,6","0,0","8,2",Varias,"17,0",13:30,35,"1,9","8,9",11:50,"8,6","1023,0",Varias,"1019,9",24,66,93,Varias,44,Varias
2017-01-05,B228,"PALMA, PUERTO",BALEARES,3,"11,4","0,0","6,8",23:40,"16,0",12:20,06,"2,5","7,5",13:30,"5,7","1024,2",24,"1018,6",06,64,87,05:00,57,18:00
2017-01-06,B228,"PALMA, PUERTO",BALEARES,3,"10,4","0,0","6,5",00:30,"14,3",11:50,10,"1,4","6,9",13:10,"6,3","1028,6",11,"1024,2",00,66,86,03:10,50,11:40
2017-01-07,B228,"PALMA, PUERTO",BALEARES,3,"11,2","0,0","6,7",07:20,"15,8",15:00,21,"1,4","4,2",13:40,"8,0","1028,3",11,"1026,6",16,74,90,07:40,59,15:00
2017-01-08,B228,"PALMA, PUERTO",BALEARES,3,"12,0","0,0","6,0",Varias,"18,1",13:50,33,"0,6","4,7",17:30,"9,5","1027,6",00,"1021,6",20,70,90,05:00,50,14:40
2017-01-09,B228,"PALMA, PUERTO",BALEARES,3,"11,0","0,1","6,6",01:40,"15,3",12:10,09,"1,1","5,6",11:30,"4,9","1025,0",10,"1020,0",24,73,91,23:30,61,12:10
2017-01-10,B228,"PALMA, PUERTO",BALEARES,3,"11,4","0,8","7,2",00:10,"15,5",12:40,33,"1,4","8,3",14:50,"1,3","1020,0",00,"1008,5",Varias,73,92,01:30,55,12:40
2017-01-11,B228,"PALMA, PUERTO",BALEARES,3,"11,0","0,0","7,1",23:10,"15,0",13:20,03,"3,1","15,0",00:50,"6,4","1024,3",24,"1010,5",00,67,85,23:50,51,03:40
2017-01-12,B228,"PALMA, PUERTO",BALEARES,3,"12,4","0,0","7,1",00:10,"17,8",12:50,22,"2,2","10,6",16:00,"8,5","1024,3",00,"1015,9",24,78,90,Varias,68,12:50
2017-01-13,B228,"PALMA, PUERTO",BALEARES,3,"12,9","1,0","9,4",23:59,"16,4",12:20,30,"3,6","15,3",13:00,"8,1","1018,1",24,"1012,6",06,50,90,Varias,36,12:10
2017-01-14,B228,"PALMA, PUERTO",BALEARES,3,"10,4","0,3","7,7",05:20,"13,2",11:30,01,"2,5","10,0",13:30,"6,2","1020,4",Varias,"1018,0",00,58,90,03:50,40,20:50
2017-01-15,B228,"PALMA, PUERTO",BALEARES,3,"9,4","0,7","5,6",23:30,"13,1",10:30,05,"1,9","16,1",15:00,"5,6","1020,4",00,"1017,6",15,59,76,23:59,45,00:00
2017-01-16,B228,"PALMA, PUERTO",BALEARES,3,"10,4","4,0","5,7",00:00,"15,0",11:50,34,"1,4","9,4",10:50,"7,2","1020,0",00,"1012,3",18,68,91,23:00,50,11:30
2017-01-17,B228,"PALMA, PUERTO",BALEARES,3,"5,2","2,6","2,5",15:20,"7,8",00:00,03,"3,9","13,3",06:10,"5,2","1016,1",24,"1013,0",06,71,93,15:30,43,08:40
2017-01-18,B228,"PALMA, PUERTO",BALEARES,3,"7,6","1,2","4,5",00:00,"10,6",15:00,02,"4,4","10,6",13:00,"6,0","1018,2",10,"1015,9",01,61,71,00:00,53,07:30
2017-01-19,B228,"PALMA, PUERTO",BALEARES,3,"9,8","9,6","8,6",07:00,"10,9",19:10,02,"4,2","11,7",04:40,"0,0","1017,5",00,"1015,9",19,88,92,06:50,66,00:00
2017-01-20,B228,"PALMA, PUERTO",BALEARES,3,"9,8","48,1","7,9",12:30,"11,8",23:59,04,"2,8","10,3",19:20,"0,0","1017,1",00,"1014,1",24,90,94,08:10,78,22:50
2017-01-21,B228,"PALMA, PUERTO",BALEARES,3,"10,1","36,9","7,7",21:20,"12,5",02:30,05,"4,4","22,2",10:50,"0,0","1014,1",00,"1005,5",14,89,93,08:40,61,20:10
2017-01-22,B228,"PALMA, PUERTO",BALEARES,3,"11,8","4,5","9,1",20:40,"14,6",12:40,02,"3,9","16,4",02:10,"2,8","1011,5",24,"1006,6",01,81,90,20:20,71,15:10
2017-01-23,B228,"PALMA, PUERTO",BALEARES,3,"11,9","2,7","8,9",05:50,"14,9",10:30,01,"1,9","11,1",10:40,"4,5","1014,5",24,"1011,5",Varias,85,92,Varias,60,11:00
2017-01-24,B228,"PALMA, PUERTO",BALEARES,3,"9,8","0,0","5,7",23:50,"13,8",12:30,01,"1,9","9,7",12:50,"2,5","1020,0",24,"1014,4",00,58,90,23:30,40,12:20
2017-01-25,B228,"PALMA, PUERTO",BALEARES,3,"10,6","0,2","5,1",01:30,"16,1",13:30,21,"2,2","8,6",12:40,"5,4","1020,0",00,"1015,8",16,81,93,Varias,60,11:30
2017-01-26,B228,"PALMA, PUERTO",BALEARES,3,"11,6","0,0","7,7",00:30,"15,6",12:40,99,"1,1","4,7",Varias,"7,2","1017,8",00,"1016,4",Varias,81,92,Varias,65,14:10
2017-01-27,B228,"PALMA, PUERTO",BALEARES,3,"13,2","33,9","10,3",23:59,"16,1",10:50,16,"1,1","14,4",16:00,"0,0","1016,4",00,"1009,1",24,87,93,18:30,74,10:40
2017-01-28,B228,"PALMA, PUERTO",BALEARES,3,"13,4","0,8","9,3",05:50,"17,5",12:40,35,"1,7","7,2",14:50,"7,1","1022,0",24,"1008,3",Varias,72,93,00:40,50,12:40
2017-01-29,B228,"PALMA, PUERTO",BALEARES,3,"12,0","0,0","7,7",06:50,"16,3",13:50,20,"1,4","6,4",13:00,"6,9","1024,3",11,"1022,0",00,78,92,Varias,57,13:50
2017-01-30,B228,"PALMA, PUERTO",BALEARES,3,"11,8","0,0","7,4",03:00,"16,3",12:30,19,"1,7","6,4",13:10,"1,0","1023,9",00,"1020,3",24,89,93,Varias,81,11:10
2017-01-31,B228,"PALMA, PUERTO",BALEARES,3,"14,8","0,0","11,2",Varias,"18,5",13:40,18,"0,6","2,8",14:50,"7,8","1020,3",00,"1017,2",17,81,93,Varias,63,13:40
